state,x,y
Kebbi,-234,148
Sokoto,-177,218
Zamfara,-143,146
Katsina,-69,172
Kano,-22,140
Jigawa,23,173
Yobe,113,170
Kaduna,-61,67
Bauchi,41,67
Borno,196,147
Gombe,106,66
Adamawa,155,12
Taraba,78,-52
Benue,-13,-90
Plateau,37,3
Nasarawa,-39,-31
Abuja,-88,-14
Kogi,-123,-61
Niger,-166,32
Kwara,-201,-20
Enugu,-73,-123
Ebonyi,-39,-143
Anambra,-98,-151
Imo,-95,-182
Abia,-63,-180
Cross,-33,-182
Akwa Ibom,-57,-218
Rivers,-94,-226
Bayelsa,-142,-224
Delta,-160,-185
Edo,-163,-136
Oyo,-272,-41
Osun,-220,-77
Ekiti,-175,-69
Ondo,-191,-102
Ogun,-281,-105
Lagos,-265,-127
